Tabela 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CD_CLI;NR_CTR;VR_CTR;DT_CTR;NR_PARCELA;VR_PARCELA;CODIGO;RATING;MOTIVO;PRODUTO;nome;idade;cpf;rg;data_nasc;sexo;signo;mae;pai;email;senha;cep;endereco;numero;bairro;cidade;estado;telefone_fixo;celular;altura;peso;tipo_sanguineo;cor
;6468;6568;73566;2017-01-18;360;204.35;6468;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6469;6569;4074;2017-01-18;36;113.17;6469;B;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6470;6570;27510;2017-01-18;36;764.17;6470;B;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6471;6571;22834;2017-01-18;60;380.57;6471;B;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6472;6572;27841;2017-01-18;36;773.36;6472;A;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6473;6573;32155;2017-01-18;60;535.92;6473;A;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6474;6574;69556;2017-01-18;360;193.21;6474;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6475;6575;75107;2017-01-18;360;208.63;6475;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6476;6576;98635;2017-01-18;360;273.99;6476;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6477;6577;73837;2017-01-18;360;205.10;6477;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6478;6578;57191;2017-01-18;240;238.30;6478;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6479;6579;15415;2017-01-18;36;428.19;6479;A;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6480;6580;3623;2017-01-18;36;100.64;6480;A;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6481;6581;36147;2017-01-18;24;1506.13;6481;B;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6482;6582;74588;2017-01-18;360;207.19;6482;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6483;6583;87252;2017-01-18;360;242.37;6483;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6484;6584;52683;2017-01-18;240;219.51;6484;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6485;6585;26688;2017-01-18;48;556.00;6485;B;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6486;6586;79314;2017-01-18;360;220.32;6486;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6487;6587;5990;2017-01-18;42;142.62;6487;B;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6488;6588;66619;2017-01-18;360;185.05;6488;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6489;6589;36894;2017-01-18;36;1024.83;6489;B;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6490;6590;94765;2017-01-18;360;263.24;6490;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6491;6591;1709;2017-01-18;15;113.93;6491;B;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6492;6592;26865;2017-01-18;48;559.69;6492;A;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6493;6593;91764;2017-01-18;360;254.90;6493;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6494;6594;42135;2017-01-18;120;351.13;6494;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6495;6595;71992;2017-01-18;360;199.98;6495;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6496;6596;72074;2017-01-18;360;200.21;6496;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6497;6597;55164;2017-01-18;120;459.70;6497;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6498;6598;52869;2017-01-18;240;220.29;6498;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6499;6599;9602;2017-01-18;48;200.04;6499;A;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6500;6600;35499;2017-01-18;36;986.08;6500;A;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6501;6601;97022;2017-01-18;360;269.51;6501;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6502;6602;54252;2017-01-18;120;452.10;6502;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6503;6603;31975;2017-01-18;60;532.92;6503;A;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6504;6604;22505;2017-01-18;72;312.57;6504;A;ATIVO;CONSIGNADO;;;;;;;;;;;;;;;;;;;;;;;
;6505;6605;74542;2017-01-18;360;207.06;6505;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6506;6606;13883;2017-01-18;72;192.82;6506;A;ATIVO;CONSIGNADO;;;;;;;;;;;;;;;;;;;;;;;
;6507;6607;23375;2017-01-18;60;389.58;6507;A;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6508;6608;83844;2017-01-18;360;232.90;6508;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6509;6609;99096;2017-01-18;360;275.27;6509;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6510;6610;58231;2017-01-18;240;242.63;6510;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6511;6611;56763;2017-01-18;240;236.51;6511;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6512;6612;13125;2017-01-18;36;364.58;6512;A;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6513;6613;89116;2017-02-14;360;247.54;6513;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6514;6614;70747;2017-02-14;360;196.52;6514;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6515;6615;3210;2017-02-14;24;133.75;6515;B;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6516;6616;4859;2017-02-14;24;202.46;6516;E;OBITO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6517;6617;17396;2017-02-14;48;362.42;6517;B;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6518;6618;47909;2017-02-14;120;399.24;6518;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6519;6619;49397;2017-02-14;120;411.64;6519;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6520;6620;5935;2017-02-14;42;141.31;6520;B;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6521;6621;87085;2017-02-14;360;241.90;6521;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6522;6622;99590;2017-02-14;360;276.64;6522;B;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6523;6623;59667;2017-02-14;360;165.74;6523;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6524;6624;25299;2017-02-14;48;527.06;6524;A;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6525;6625;9415;2017-02-14;48;196.15;6525;B;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6526;6626;29853;2017-02-14;36;829.25;6526;A;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6527;6627;13537;2017-02-14;72;188.01;6527;A;ATIVO;CONSIGNADO;;;;;;;;;;;;;;;;;;;;;;;
;6528;6628;77506;2017-02-14;360;215.29;6528;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6529;6629;8375;2017-02-14;60;139.58;6529;A;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6530;6630;1072;2017-02-14;24;44.67;6530;B;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6531;6631;54200;2017-02-14;120;451.67;6531;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6532;6632;11217;2017-02-14;48;233.69;6532;A;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6533;6633;64144;2017-02-14;360;178.18;6533;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6534;6634;20369;2017-02-14;72;282.90;6534;A;ATIVO;CONSIGNADO;;;;;;;;;;;;;;;;;;;;;;;
;6535;6635;28942;2017-02-14;48;602.96;6535;B;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6536;6636;37180;2017-02-14;36;1032.78;6536;A;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6537;6637;45224;2017-02-14;120;376.87;6537;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6538;6638;26188;2017-02-14;36;727.44;6538;B;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6539;6639;20206;2017-02-14;72;280.64;6539;A;ATIVO;CONSIGNADO;;;;;;;;;;;;;;;;;;;;;;;
;6540;6640;63357;2017-02-14;360;175.99;6540;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6541;6641;34420;2017-02-14;48;717.08;6541;A;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6542;6642;94899;2017-02-14;360;263.61;6542;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6543;6643;35590;2017-02-14;48;741.46;6543;B;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6544;6644;50012;2017-02-14;120;416.77;6544;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6545;6645;20660;2017-02-14;72;286.94;6545;A;ATIVO;CONSIGNADO;;;;;;;;;;;;;;;;;;;;;;;
;6546;6646;54651;2017-02-14;120;455.43;6546;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6547;6647;56117;2017-02-14;240;233.82;6547;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6548;6648;45858;2017-02-14;120;382.15;6548;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6549;6649;24396;2017-02-14;36;677.67;6549;A;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6550;6650;33503;2017-02-14;36;930.64;6550;B;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6551;6651;91633;2017-02-14;360;254.54;6551;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6552;6652;68767;2017-02-14;360;191.02;6552;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6553;6653;7155;2017-02-14;36;198.75;6553;A;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6554;6654;41450;2017-02-14;120;345.42;6554;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6555;6655;45844;2017-02-14;120;382.03;6555;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6556;6656;56083;2017-02-14;240;233.68;6556;E;PENHORA;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6557;6657;97418;2017-02-14;360;270.61;6557;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6558;6658;27623;2017-02-14;36;767.31;6558;B;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6559;6659;23390;2017-02-14;36;649.72;6559;A;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6560;6660;76374;2017-02-14;360;212.15;6560;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6561;6661;28121;2017-02-14;48;585.85;6561;B;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6562;6662;18312;2017-02-14;24;763.00;6562;A;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6563;6663;96294;2017-02-14;360;267.48;6563;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6564;6664;4201;2017-02-14;36;116.69;6564;B;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6565;6665;29799;2017-02-14;24;1241.63;6565;B;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6566;6666;73430;2017-02-14;360;203.97;6566;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6567;6667;7788;2017-02-14;72;108.17;6567;A;ATIVO;CONSIGNADO;;;;;;;;;;;;;;;;;;;;;;;
;6568;6668;57991;2017-02-14;240;241.63;6568;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6569;6669;36853;2017-02-14;48;767.77;6569;B;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6570;6670;41406;2017-02-14;120;345.05;6570;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6571;6671;3949;2017-02-14;36;109.69;6571;B;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6572;6672;62363;2017-02-14;360;173.23;6572;B;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6573;6673;48174;2017-02-14;120;401.45;6573;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6574;6674;34076;2017-02-14;48;709.92;6574;A;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6575;6675;67024;2017-02-14;360;186.18;6575;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6576;6676;15015;2017-02-14;24;625.63;6576;A;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6577;6677;41177;2017-02-14;120;343.14;6577;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6578;6678;78785;2017-02-14;360;218.85;6578;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6579;6679;96598;2017-02-14;360;268.33;6579;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6580;6680;57864;2017-02-14;240;241.10;6580;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6581;6681;20091;2017-02-14;24;837.13;6581;B;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6582;6682;47530;2017-02-14;120;396.08;6582;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6583;6683;73192;2017-02-14;360;203.31;6583;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6584;6684;41925;2017-02-14;120;349.38;6584;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6585;6685;4663;2017-02-14;24;194.29;6585;A;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6586;6686;92144;2017-02-14;360;255.96;6586;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6587;6687;80223;2017-02-14;360;222.84;6587;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6588;6688;9381;2017-02-14;60;156.35;6588;B;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6589;6689;44196;2017-02-14;120;368.30;6589;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6590;6690;99362;2017-02-14;360;276.01;6590;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6591;6691;53309;2017-02-14;120;444.24;6591;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6592;6692;6066;2017-02-14;60;101.10;6592;A;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6593;6693;47106;2017-02-14;120;392.55;6593;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6594;6694;31659;2017-02-14;48;659.56;6594;A;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6595;6695;67239;2017-02-14;360;186.78;6595;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6596;6696;69803;2017-02-14;360;193.90;6596;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6597;6697;20518;2017-02-14;48;427.46;6597;A;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6598;6698;14611;2017-02-14;24;608.79;6598;B;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6599;6699;22556;2017-02-14;24;939.83;6599;B;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6600;6700;3457;2017-02-14;36;96.03;6600;B;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6601;6701;39268;2017-02-14;60;654.47;6601;B;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6602;6702;34933;2017-02-14;72;485.18;6602;A;ATIVO;CONSIGNADO;;;;;;;;;;;;;;;;;;;;;;;
;6603;6703;49810;2017-02-14;120;415.08;6603;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6604;6704;47589;2017-02-14;120;396.58;6604;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6605;6705;86872;2017-02-14;360;241.31;6605;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6606;6706;4927;2017-02-14;48;102.65;6606;B;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6607;6707;61031;2017-02-14;360;169.53;6607;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6608;6708;34369;2017-02-14;36;954.69;6608;A;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6609;6709;94947;2017-02-14;360;263.74;6609;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6610;6710;51543;2017-02-14;240;214.76;6610;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6611;6711;54953;2017-02-14;120;457.94;6611;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6612;6712;49217;2017-02-14;120;410.14;6612;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6613;6713;38381;2017-02-14;48;799.60;6613;A;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6614;6714;68582;2017-03-22;360;190.51;6614;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6615;6715;19765;2017-03-22;24;823.54;6615;A;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6616;6716;87258;2017-03-22;360;242.38;6616;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6617;6717;67041;2017-03-22;360;186.23;6617;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6618;6718;77926;2017-03-22;360;216.46;6618;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6619;6719;65906;2017-03-22;360;183.07;6619;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6620;6720;10559;2017-03-22;24;439.96;6620;A;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6621;6721;72167;2017-03-22;360;200.46;6621;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6622;6722;92661;2017-03-22;360;257.39;6622;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6623;6723;25582;2017-03-22;48;532.96;6623;A;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6624;6724;41037;2017-03-22;120;341.98;6624;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6625;6725;92460;2017-03-22;360;256.83;6625;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6626;6726;82416;2017-03-22;360;228.93;6626;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6627;6727;13628;2017-03-22;48;283.92;6627;A;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6628;6728;22585;2017-03-22;36;627.36;6628;B;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6629;6729;94863;2017-03-22;360;263.51;6629;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6630;6730;12348;2017-03-22;48;257.25;6630;B;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6631;6731;62608;2017-03-22;360;173.91;6631;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6632;6732;73063;2017-03-22;360;202.95;6632;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6633;6733;21499;2017-03-22;36;597.19;6633;B;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6634;6734;46202;2017-03-22;120;385.02;6634;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6635;6735;76205;2017-03-22;360;211.68;6635;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6636;6736;39886;2017-03-22;60;664.77;6636;A;ATIVO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6637;6737;71349;2017-03-22;360;198.19;6637;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6638;6738;81272;2017-03-22;360;225.76;6638;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6639;6739;59279;2017-03-22;240;247.00;6639;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6640;6740;17161;2017-03-22;60;286.02;6640;A;ATIVO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6641;6741;14590;2017-03-22;72;202.64;6641;A;ATIVO;CONSIGNADO;;;;;;;;;;;;;;;;;;;;;;;
;6642;6742;98854;2017-03-22;360;274.59;6642;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6643;6743;30911;2017-03-22;36;858.64;6643;A;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6644;6744;79329;2017-03-22;360;220.36;6644;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6645;6745;12308;2017-03-22;36;341.89;6645;B;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6646;6746;40104;2017-03-22;60;668.40;6646;A;ATIVO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6647;6747;90685;2017-03-22;360;251.90;6647;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6648;6748;4267;2017-03-22;36;118.53;6648;A;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6649;6749;63857;2017-03-22;360;177.38;6649;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6650;6750;98991;2017-03-22;360;274.98;6650;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6651;6751;6632;2017-03-22;24;276.33;6651;A;LIQUIDADO;EMPRESTIMO;;;;;;;;;;;;;;;;;;;;;;;
;6652;6752;88135;2017-03-22;360;244.82;6652;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6653;6753;71125;2017-03-22;360;197.57;6653;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
;6654;6754;74312;2017-03-22;360;206.42;6654;A;ATIVO;FINANCIAMENTO IMOBILIARIO;;;;;;;;;;;;;;;;;;;;;;;
